id	GSM4092753_Control	GSM4092754_Control	GSM4092755_Control	GSM4092756_Treat	GSM4092757_Treat	GSM4092758_Treat
ABHD1	3.672417	3.46959166666667	3.63591366666667	3.67902766666667	3.49850533333333	3.793264
ABHD10	4.9386685	5.41262266666667	5.562099	5.42279983333333	5.66153566666667	5.57057766666667
ABHD11	4.01526833333333	4.39267416666667	4.53126066666667	4.54137166666667	4.38798	4.77989633333333
ABHD12	4.84237983333333	4.9811445	5.1432795	5.970938	5.7347875	6.076073
ABHD12B	4.17375316666667	3.67920583333333	3.8657255	3.99545866666667	3.95663433333333	3.76536333333333
ABHD13	4.09593216666667	4.359939	4.380619	4.022056	4.4262775	4.38509333333333
ABHD14A	6.62089033333333	5.9766025	6.29351133333333	6.34504783333333	6.35456325	6.3512875
ABHD14B	4.287423	4.99124833333333	5.14853833333333	5.37085316666667	5.46242583333333	5.18632266666667
ABHD15	4.43483333333333	4.74662033333333	5.14189516666667	4.48470466666667	4.80994033333333	4.6016275
ABHD2	5.78932416666667	5.31738516666667	5.67431433333333	6.03226383333333	6.20777633333333	5.89208466666667
ABHD3	5.72344216666667	4.61699583333333	4.59970133333333	4.546177	5.1329595	5.70730983333333
ABHD4	4.123506	4.57360766666667	4.55793616666667	4.37312783333333	4.3699265	4.25227533333333
ABHD5	4.00729766666667	4.44179783333333	4.44540216666667	4.30277933333333	4.3244305	4.11166716666667
ABHD6	4.14287033333333	3.973156	3.9646595	4.06616266666667	4.146366	4.31546116666667
ABHD8	5.036033	4.69175983333333	4.76697183333333	4.81759316666667	4.662276	4.87539633333333
ABI1	6.55550633333333	6.00345683333333	5.74059783333333	5.81795983333333	5.6397295	5.2856095
ABI2	5.41262266666667	5.30618483333333	5.09664466666667	5.52863933333333	5.43338416666667	5.506188
ABI3	5.2180405	8.1534005	9.73204816666667	4.83083516666667	4.66605266666667	4.68290883333333
ABI3BP	7.90852316666667	7.3894045	9.106258	11.3025948333333	8.56512816666667	5.46325266666667
ABL1	6.1852015	6.2275315	6.32593516666667	6.71397566666667	7.00212633333333	5.72312066666667
