id	GSM317718_Control	GSM317719_Control	GSM317720_Control	GSM317721_Control	GSM317722_Control	GSM317711_Treat	GSM317712_Treat	GSM317713_Treat	GSM317714_Treat	GSM317715_Treat	GSM317716_Treat	GSM317717_Treat
ANKLE2	6.70798995833558	6.69260144979652	6.99039406368996	6.91182117516155	6.81592361881307	7.45104604197185	7.16721669047269	6.60147583103637	7.2286274763571	6.72919171455644	7.08396735792733	7.41414019588862
ANKMY2	11.2732230003554	11.7715535635519	11.7914424674023	11.8475586460438	11.349341092782	10.259576405672	8.88775303023549	10.8357620574057	10.8978639852732	11.1752693950457	10.3941980663209	10.7780442226968
ANKRD1	3.0279050986867	3.14230881247662	3.05419030753559	3.04100835482752	3.04649938749026	3.09797433068371	3.05191329366508	3.05066597486717	3.03231108595138	3.05191329366508	3.1194752221194	3.02638824996967
ANKRD12	8.94195515598531	9.67502404698678	8.82834734716431	8.56567348984135	8.38629967298743	8.484507629212	9.33858429409121	8.16317213206289	8.49320076028533	7.98635471354654	10.1515078429373	8.06468388024396
ANKRD17	10.044818335669	9.93481738194799	9.96785748893001	10.1607277362274	10.0351309963346	9.79853223444859	11.542429812993	10.7469013335911	10.4525125062761	10.8411453038055	11.1214393559137	11.0560946399389
ANKRD26	5.3328836312497	5.63400383820607	5.37112813632691	5.19761582039147	5.42463157508301	5.2505955977204	5.33114482466478	5.18185028741144	5.21596823461027	5.15817607176724	7.15898487480891	4.96082031866332
ANKRD28	6.39774328228854	7.23210303917568	7.42737132858687	7.59482797506514	8.24333669129093	7.09811444271849	7.16996769354043	7.18957563834746	6.70029925822746	6.36546256630076	5.94995747068161	6.55314266919953
ANKRD34C	4.04695755308653	4.72335213593747	3.87967487069666	3.73470152039899	3.72224485124176	3.76373869276228	3.72139092244878	3.73188328571077	3.69301802385032	3.72139092244878	3.74174879579115	3.67473768861958
ANKRD40	7.52672563753221	6.76360157699627	8.40179675090082	7.23690766610866	8.75001557958724	7.59353798063914	7.62187461738186	8.22514238704549	7.46589516700938	8.95307857755366	6.58451830668845	7.80856991643622
ANKRD46	11.4715819866684	12.1799004721302	12.1159187944712	12.4544475842991	12.5130031505374	10.0470509344563	11.1182839108992	10.665916068458	9.17985034190089	10.8888948428562	9.37209782142588	9.93481738194799
ANKRD6	5.42302376012657	6.64566646324908	6.53495148911583	7.17269680267812	7.53249863833627	6.62435227893998	4.87918954849517	6.30247654272471	4.90072768929151	7.27465122779357	5.34186511242374	5.65529169804267
ANKRD7	3.45134229161677	4.02986811969564	3.41458787446296	3.36977366562619	3.37033238994997	5.72840257375272	3.35449429953709	3.42658625530621	3.3876443685497	4.69158110011648	3.68612074585712	3.40552402162894
ANKS1A	9.45968776555629	9.89005865248239	9.47165356657093	9.34120303332854	9.22397154147866	9.93394770686885	9.13181105552363	10.0434600438535	9.16272263409641	9.86930578909542	10.0554314281175	9.58082004351976
ANO3	4.99748443388979	9.79853223444859	9.08170169149569	7.00937065844642	9.32561321771327	3.53269225399966	3.52315711953412	3.43923514040508	3.43614780089669	3.44104277307081	3.42034587585296	3.39255151047123
ANP32A	12.2614518695415	12.3223996996388	12.5257845491976	12.5257845491976	12.678242176877	11.5209743739645	13.6403612461968	11.6532969721363	11.7506588353015	12.1643907574998	12.6217733388737	12.3806537473472
ANP32B	12.3614795912772	11.8865919111095	11.8801440727563	11.9469885627003	12.2654320087127	13.4190733267423	13.701957932123	13.1232817804675	13.1271406343505	12.9901292562974	13.0484833752694	12.3783670064806
ANP32E	7.61890961886036	7.00333223104479	5.93824875732987	6.54228315174934	6.17689617399105	8.39801751741559	7.93916104118478	7.03705913008934	8.76824607221428	8.30843619055098	8.61495025400043	8.43407987144705
ANPEP	2.19111771191384	2.19542814304549	2.2102650818335	2.24373212707606	2.23188585424219	2.22760218571334	2.2216640784141	2.22879641282415	5.56845596250992	2.25230661681224	2.16811382223579	2.41863806700635
ANXA1	11.7393070385968	9.23415724553665	8.00280614946913	8.0042342578799	10.8162094624687	14.1425514270025	9.64719790900078	12.1799004721302	13.6487575199047	13.2261878886313	11.2022582142949	11.3654178320151
ANXA10	2.6812211969197	2.71549413116362	2.64807258260898	2.63008130127162	2.63345398775687	2.65058981093354	2.63934104864828	2.65447072229947	2.63345398775687	2.64619587970103	2.73979874718348	2.6375915478679
ANXA11	9.4335103680909	9.83371689043349	9.85494901552274	9.65647963545914	9.7972512797648	7.29705041062272	6.40728509413129	8.03644622935559	8.32551986686661	8.2670711461385	7.36085073606918	8.19618340900992
ANXA13	3.67946612123701	4.08979439984415	3.84709309965012	3.65614748034025	3.74394679337527	5.1467798351797	3.69977957621374	3.71609611599242	3.84409879989766	3.68502148932674	5.15582199450781	3.68502148932674
ANXA2	3.10601695181873	3.03702437564497	2.96273313908586	2.96470869394715	3.28368825141915	8.39351309913385	7.62664191624917	6.71466528202948	8.39351309913385	8.91160971477004	3.17012637613217	8.94195515598531
ANXA2P1	7.50323302971946	7.57765320988691	7.25809904579513	5.98952910912497	7.34024362888567	9.37666664316115	7.98914138896464	8.66426445582659	9.64719790900078	9.72229663603057	8.65836293137226	10.1566520455578
ANXA3	3.49153605034047	3.65782767107575	3.52552911567065	5.52982337328305	4.5290533252117	3.49445994759842	3.46825312890127	3.50253490980578	3.56081555483769	3.46041856347412	3.54919754658598	3.52102837373038
ANXA4	9.43857167489558	8.31607491900309	8.43114335460653	8.13644745285139	8.21322557785444	10.0351309963346	6.32574107992162	9.1984356885804	9.09525052223037	8.46938148939977	7.99186923178636	9.09525052223037
ANXA5	11.9006928969944	9.37417778521957	10.429149000512	10.0513016284584	11.4379317327268	12.5963815127667	10.5424084323518	12.3942812869745	12.8045938304455	13.3185278581472	12.5567005913024	12.6301441949175
ANXA6	9.19532605764631	9.98735043868986	9.65526083575323	9.62820776117433	8.67332773639045	8.62350904666301	8.34776455015718	8.08390711375762	8.25919854223438	8.50272878871523	7.1767956160923	8.2015448379258
ANXA7	11.2778206365666	11.3975691439494	11.7755297840563	12.1040524017504	12.228982153127	11.335332781606	10.2536836794954	11.2057193836499	10.7363403086361	11.1777926743578	9.51293128552028	11.0486884405757
ANXA9	2.60175456309877	2.58120312634369	2.60822741226976	2.59884528299683	2.61259330125476	2.61366260802714	2.60175456309877	2.61963452174234	2.60083142632897	2.61442319882816	2.61366260802714	2.6065359230598
AOAH	4.72778654462942	4.59170270273444	4.67474560122351	4.44646162097696	4.5445163855482	4.90642356987225	4.80934076514795	5.26068916192113	4.56876311842012	4.85969265739787	4.43775769657765	4.98918003176896
AOC1	3.15956588277043	4.48730444340022	3.24694752815347	3.26961180631983	3.26045672066125	3.78888210280042	3.27979295626253	3.84409879989766	3.24042331939408	3.27600462880965	3.5696873379483	3.24571276070588
AOC2	2.33336905326599	2.35784711447147	2.35399764294829	2.35136869414475	2.35876786264662	2.33190787551592	2.3640083026039	2.34047984940241	2.34962417383184	2.35642268953992	2.26625060364397	2.35876786264662
AOC3	4.11255494409271	4.82819964423645	4.07106542206637	4.00983142594465	4.04428923353491	4.07713282176608	4.01469831757494	3.9689371634247	4.25638169284432	4.00256254342884	4.05501673833266	3.98566399796126
AOC4P	5.67582702243082	5.6170825839415	5.60584725088607	5.96476295482316	5.53500123913756	4.60854228700962	5.87088144861971	5.49255484969378	5.77631604649579	5.40119309054638	7.30109173651045	5.65945168564619
AOX1	3.50253490980578	3.40689635202902	3.60790255580216	3.2720615336727	3.2513037917271	3.63010295100285	3.49272207360366	4.07106542206637	5.13409934156668	6.1318116423501	3.51591062106158	3.84409879989766
AP1B1	11.9354972784729	12.2564530965333	11.1834116368435	11.0157732303414	11.1483822636915	11.5562564481587	11.777965667573	13.0524176580372	11.3476280552322	11.9717036476156	11.7349457523189	11.9794678443659
AP1G1	7.75453524445445	8.07120451997167	7.60852622004316	7.79711064182256	7.56480250333185	6.99212450064607	8.86858577424212	8.55168719604841	7.96439343091992	8.66615318644477	7.28109913201295	8.11449116174709
AP1G2	5.39988192395611	5.5745926751922	5.58028177392202	5.16023965920291	5.3328836312497	5.76603598725933	5.67273439022348	5.75138660165625	5.71936035298793	5.65056331049795	5.54409718809021	5.82352026157693
AP1S1	5.22954045243682	6.04171588818314	8.01499327722685	9.03365291372256	8.56999291667112	3.59790123164437	4.77630319981057	4.92885973433417	4.4750372163924	4.20886026276458	3.88670287792913	3.48369461192287
AP1S2	8.83769688765228	7.94233006627519	10.4435114689397	10.2576690514147	10.7409975565653	11.685915026084	9.4312018387117	8.34540030927745	10.4661626177653	10.2382291198597	10.5873099611167	9.98735043868986
AP2A2	10.3317716345446	10.5811928289268	9.4140662566737	9.26028193921567	9.04228899139832	8.54287157076943	9.77112998983517	8.62620655462296	8.82834734716431	8.58217539200132	9.56624226096647	8.69469151393632
AP2B1	10.5724964280433	10.8553826663029	12.4655796086666	12.4379021312803	12.0285358187203	10.7027524042743	10.8909834661626	10.0673840380573	8.74409068967283	9.3709926749047	11.6102592347936	9.79853223444859
AP2M1	13.6216515181787	14.037156209044	13.3571085849208	13.0798115575312	12.8531491149227	13.3797593120628	12.617481615888	12.617481615888	12.9481903838447	12.4544475842991	13.1693556002782	12.5503384383778
AP2S1	12.0233301710471	12.3834547401524	12.3324858399981	12.1712109862867	12.0970684157261	11.7416051060465	12.1712109862867	11.4756141242361	12.1239759417224	11.2732230003554	11.8558847423015	11.6311041957858
AP3B1	9.65399733218129	9.28996390253598	9.09068981258994	9.71511428998954	9.35706633616379	10.8303117780143	9.22800188983235	10.6669873663243	11.0260022405817	10.5916393716145	11.5118414106537	10.6669873663243
AP3B2	7.4804442538714	9.60441829645708	9.5555511446873	8.78946958782286	7.98161473158046	6.80727670617001	8.411148925122	6.68004008866908	6.210457275515	6.02256812775071	7.86795638161602	6.37784453354991
AP3D1	11.7730421943332	11.8402002670117	11.4700208049987	11.1922495477951	10.8179458867254	10.9301580782922	11.7998476306532	11.3137517755182	11.8239747648504	11.2996491165375	10.9934702619519	11.3121442972777
AP3M2	10.0470509344563	11.473779289896	11.3684887205591	10.7743776867297	10.2796512289998	8.220300722773	8.77259741429802	8.74409068967283	7.98282682145541	8.54888463388274	8.02959933771567	8.61804417566444
AP3S1	11.5658663101297	12.1582936199017	12.3182737663481	12.5503384383778	12.7230878118664	12.3680788238786	11.4130715137659	11.5771148738935	12.4036521253354	12.0200548470381	11.1949032139963	11.7617810019575
AP4E1	3.79064518492579	4.05425225069999	3.76822042533096	3.67688966048698	3.67626942303147	3.82099935967867	4.05126210051392	3.72022073986383	3.69977957621374	3.69977957621374	4.99881015477084	3.66271613638912
AP4M1	4.13656211114136	3.9296829696257	4.19088090704591	4.03902771722452	4.24959510120369	4.24556379501556	4.23918320870562	4.73054818862391	4.32342231167116	4.71790533806244	3.70282301039573	4.11795037386449
AP4S1	7.26904339713013	7.68247744743947	7.41292369421574	7.7339065600816	7.85333310605202	4.43914347237188	7.25809904579513	6.50252445429487	4.3222135045652	6.56495952444127	4.07713282176608	6.35099226150617
APAF1	2.54889361745724	2.57113529086648	2.5396465076797	2.53218533943878	2.54575563107638	2.58204606006835	2.5110294811078	2.53313976180614	2.52800254711124	2.54150514708237	2.57768271402169	2.5339296365165
APBA1	3.13241905163242	3.44948006517804	4.94613653828783	7.00671278352101	3.18564462741517	3.1401758369709	3.16558344691936	3.08794052826061	3.08082567479383	3.07730360272933	3.33431065622458	3.05557330904847
APBA2	10.9327107398271	11.6487905627283	11.2812714686912	11.2427300554728	10.8527442335835	6.15375203020504	11.6711566394613	8.8925546639453	6.52829328477099	9.30531997546874	9.91717244429291	8.61080995911556
APBA3	5.74593314464908	5.3904267000176	5.24150489474694	5.08361753565833	5.16676521438451	6.0035160911701	6.22917922323401	5.83510090892754	5.86659153978186	5.82889713895302	5.73425691535182	5.92478015034933
APBB1	10.3176182738584	10.8223994733804	11.3975691439494	11.1182839108992	10.7577320366858	8.08763272982585	9.17985034190089	9.72116861575312	8.49090004412416	8.17902574497601	8.77384294453763	7.69535059963941
APBB2	6.96548893863512	6.32912778057126	8.05314742615806	8.05588731607346	7.61890961886036	7.22192579419095	9.55009343351664	8.50946104742092	8.02573878192002	8.32806926249397	6.66845975545866	8.39456359582691
APC	10.1607277362274	10.0723721255839	9.75197297216071	9.16272263409641	8.63470744442697	7.83484550881978	10.2157582286181	9.59440073254353	8.22699376574787	8.94732494458097	8.20842451944103	8.12119576741248
APC2	11.9541498099085	11.8886905532766	10.9919421185348	10.7469013335911	10.0045775236367	10.0658368026498	12.0940036511721	12.0686990251222	9.7598515872529	11.1715156629792	12.3257574939232	11.4298855294602
APCS	3.27723637189902	3.36287333968926	3.28956358458266	3.29768490070044	3.31254218562797	3.35106573528296	3.28539412201695	3.30492019831035	3.26407823674814	3.31336126941542	3.49215281546914	3.25522980335383
APEX1	11.4152866389822	10.737801316594	10.2874223166483	9.99632622112154	10.0885946543546	10.7865360145216	12.5315827571619	11.4915024603781	10.8876623639435	11.5246555801133	11.5366658518004	11.4543638118258
APEX2	4.89098525881858	4.88928450876451	3.96954405380768	4.69596301319487	5.08545459559709	5.72398128792435	4.78729692011838	5.11692245793101	5.19341546925879	5.20760743454788	4.77353086381322	5.27053225626213
API5	7.96439343091992	8.27336578505516	8.09379821338883	8.4707224593889	8.28556496514868	8.05314742615806	7.99584251843701	7.47064467305715	7.84507138530744	7.84186184675601	8.00940126384305	8.05314742615806
APLNR	5.18185028741144	3.68828346108823	3.98761012848458	4.47189242271138	8.20444410745563	3.40259027391629	3.64238577997033	3.91900121853581	3.61854858167638	4.71210031814131	3.38523736992505	3.74525228719347
APLP1	12.3942812869745	13.7482520749103	13.904842951143	13.7482520749103	13.1457165727396	10.7007580587844	11.3886124609435	12.6669722865706	11.019972447015	10.8132432940127	12.0835059586476	10.9616246053134
APLP2	13.4397532277696	13.2461567349465	13.1566055001896	13.0574697873657	12.4868886957318	12.3866835516683	13.3118536157066	12.7052266813859	12.7268098877793	12.6602513887608	13.7986074807075	13.1693556002782
APOA1	2.32284063225116	2.30446558963296	2.32131870166342	2.3185621913746	2.32430868324777	2.34047984940241	2.3056453632195	2.3185621913746	2.32284063225116	2.32983192169298	2.32983192169298	2.29675447405148
APOA4	3.43161366891133	3.66785008804261	3.56389078232312	3.5483945032673	3.57644924937602	3.57966877526539	3.58367935802722	3.56454094002985	3.53384212359105	3.36939388498607	3.64370536136476	3.57881762069812
APOB	2.98719567166215	3.05125928568805	2.96784224281181	2.9515798022779	2.96784224281181	2.996990696566	2.95935049725063	2.96273313908586	2.94242196448307	2.95858228935947	3.20490763133986	2.94514858064925
APOBEC1	2.54575563107638	2.66691919766763	2.5110294811078	2.5015741546784	2.50898872852866	2.47655480844901	2.47921775443227	2.50368065899048	2.49105800254442	2.49803381959344	2.59818016799159	2.51378373394253
APOBEC2	4.05667128422491	4.35605945639415	3.82934193039262	3.7338268956879	3.7270827245336	3.81095839931234	3.79319083272156	3.75422814566383	3.77982398685448	3.79486574400127	5.09168605372839	3.71349558121585
APOBEC3B	4.67088480486972	4.65810622439101	4.75734115647346	4.72888440768343	5.52047912489284	8.32806926249397	5.7103960551934	5.03769629229823	5.90120217039743	6.46307440522197	6.73671806865395	7.89706229615413
APOBEC3C	4.73175017374222	4.134666289644	3.58619125031023	4.57873333650105	4.47611610853501	4.38677067583493	4.34121427832648	5.19901854578984	4.76591894221135	4.97054599856286	4.19558400992378	5.8448980855457
APOBEC3F	2.90685570316568	2.83773356643956	2.89606386697955	2.94374632252906	3.02424061666876	3.5696873379483	2.9515798022779	3.11027298624799	3.78077847401244	4.12466153564541	2.86814315334633	4.49335194720426
APOBEC3G	4.83424194248516	4.42532737322386	4.66669784723666	4.52637106751613	4.90478311511965	5.10972616225209	4.51461145890879	5.98102542488171	4.95600758339578	5.65529169804267	5.29702741785334	5.36730414434662
APOC1	10.9792862563597	8.17488068987568	7.8555823060885	6.11755385766753	11.9138874117092	11.3377186830035	10.8755187418641	14.0844726790799	11.6487905627283	12.1464324763666	11.0946615465144	12.4907146134091
APOC3	4.13760585179023	4.12045592560086	4.21351999968592	4.21001091117113	4.22884607414694	5.13139745788105	4.23491159745424	4.19207920205609	4.14591918692275	4.18308034023284	5.67449002128496	4.134666289644
APOD	14.7444122030976	12.1239759417224	13.9578858479867	13.6138995386805	13.3370579292912	5.62880620111965	12.3715576251619	12.1239759417224	10.7636068590101	9.50128196428531	6.23535606444984	11.9561370723374
APOE	14.9172144464802	14.4554086499928	13.6644033703768	13.4190733267423	13.6403612461968	13.3571085849208	12.3430070958775	15.0684511366588	14.057461317016	14.4207825130892	14.057461317016	14.5040889563159
APOF	2.38807365978033	2.37877325721521	2.38807365978033	2.37255308842631	2.38091994655056	2.42165780747592	2.36107355376409	2.39173281881583	2.38571267977943	2.38091994655056	2.45362374131266	2.36294593235846
APOH	4.47062295268698	5.00697678794342	4.1027714591454	3.96954405380768	3.95191889498992	4.06125290702992	4.08463374909777	4.00141312456238	4.03200196742738	4.04428923353491	5.62560098995548	3.99167138324326
APOL1	5.14334945647678	5.09872737739937	4.79042169385802	4.64363802773873	4.88655190479345	4.81954426678897	4.81461539927491	4.77630319981057	4.92029452556557	4.60575816446483	6.46455746891413	4.67474560122351
APOM	6.36546256630076	6.56495952444127	6.38582156002593	6.35099226150617	6.32731655220364	6.92232825105979	6.33756627879035	6.41144418800702	6.40178340911474	6.7827144272837	7.53397528121317	6.73671806865395
APOOL	6.04706505161717	5.85506180455084	5.17806570240113	4.8293418246139	4.88928450876451	5.28543205847277	5.4821080793876	5.13737977659288	5.35984214328672	5.41040949772815	6.66410031848099	4.72778654462942
APP	12.8353872961257	12.8711260862967	13.1417894651603	13.278524498842	13.2662461274332	12.0233301710471	12.328521292225	12.4835603271148	12.2404970595759	12.7188329419856	13.1142251355473	12.6068277732486
APPBP2	9.00742511733292	9.09150629260673	9.96195843790998	9.93279622271745	9.8885258778642	8.98504192359211	9.78906512724639	9.69715952099694	8.85164495649216	9.64220050451632	9.24787262203997	9.20741069020266
APRT	6.81924818619073	7.13071276694853	5.52667782491662	5.71738217726967	6.08737347265862	7.11547191396168	7.60988970913044	7.19981111255253	7.29165393374414	7.28787739874509	7.19574456729312	7.30651478174533
AQP1	11.5300022645358	10.1255040443773	9.17026698313605	9.05318221893952	9.03614904234806	12.9783580075226	3.52552911567065	14.8247307121139	13.1142251355473	15.4172097486736	7.7458072447342	14.2853991187165
AQP2	1.77311230930438	1.77583775891098	1.79008083880948	1.76485874334114	1.76485874334114	1.77583775891098	1.75878032941021	1.75878032941021	1.77035285771511	1.77311230930438	1.79753614702843	1.74974923138727
AQP3	6.70945139483831	4.31588870642395	3.87620692324119	6.65097525719224	8.91049943712082	3.34777643675334	4.13760585179023	3.44948006517804	3.42034587585296	3.46680644453296	3.323180585431	3.46041856347412
AQP4	12.2321630730369	10.5514812561306	12.2025478829852	12.9209052848979	13.1786144642148	12.1216994692972	5.6170825839415	12.1712109862867	10.5006636130712	12.50429241472	11.7998476306532	11.3909030491463
AQP5	1.85867954804563	1.83082891146602	1.86064205799257	1.84901804389978	1.85323913451008	1.84465197350078	1.8398150673114	1.86335207624803	1.84901804389978	1.85867954804563	1.81597560706013	1.87821024807855
AQP6	2.80044334843441	2.80282085582872	2.81427178698561	2.9401116400771	2.8573998506773	2.78474020727664	2.81173959087797	2.85226010720124	2.81427178698561	2.84840362221449	2.7521763775885	2.80572457446511
AQP8	1.70345319367445	1.69527999883717	1.69962230622709	1.69527999883717	1.69962230622709	1.7082640941531	1.69527999883717	1.7082640941531	1.7082640941531	1.70345319367445	1.77311230930438	1.71301097989865
AQP9	4.23197364687603	4.2048639692104	4.134666289644	3.99047389681502	4.06038330914599	4.26713664710315	4.13580320146836	4.07939598308432	8.2889650638248	4.92400082985983	4.18400894045728	6.84264255845317
AQR	5.8743683488265	5.79662037820569	6.40382965284723	6.34387876012291	6.02256812775071	4.59429587086098	7.47064467305715	5.1279548375254	4.16891804523405	5.66315823653317	5.8838401768105	4.40920394576058
AR	2.84004259147528	2.78855589339756	2.83773356643956	2.84626190546057	2.85155957935368	3.1648920653456	2.83440346625081	3.17788223609615	2.82848987884284	5.26068916192113	2.80691145520687	2.85666002755254
ARAF	8.34648530627435	6.97422462223813	7.13071276694853	7.56758080103019	7.14880055951876	8.73202222540972	8.89117757726461	8.33213150381297	8.59405549521192	8.04647396602739	8.30221826220737	8.33792426336493
ARAP1	8.3678469284859	7.77968318935608	7.61333009461034	6.86500658753315	7.03705913008934	7.5583002532723	7.61333009461034	9.27891916633413	8.13883617932195	8.29978139055271	7.69172672972739	7.43758181764705
ARC	6.73039138460597	5.50804385609027	5.5745926751922	5.5058344599764	5.44924401403592	5.74751715381331	8.9761393423783	5.27053225626213	5.68477499610732	5.31638510515449	7.43040876576006	5.52982337328305
ARCN1	10.3958400611344	9.5760305271068	10.2884507911778	10.4093028803194	10.3499892917124	11.0637086955422	9.88715254756358	10.4028860684451	10.8651020738043	10.6889887609689	10.3958400611344	10.9873490713595
AREG	4.15869457414813	4.85483276818879	3.88454364747151	3.7874670036133	3.80433374842776	4.85010493719907	3.88330691440179	3.79748404579293	4.15587487844177	5.36170194123124	5.2574489026063	3.82994153204377
AREL1	8.10660470176295	9.59915154845297	8.7513449550176	8.74005128326556	8.71097088082345	7.53546765820778	9.67102463806748	9.10929927240586	8.5167933211235	8.44645599801636	8.86137524034566	9.26306001483523
ARF3	13.4048757743387	14.2624109894444	13.6403612461968	13.5371864438512	13.1640562001518	11.6770005921227	11.9006928969944	12.5474729484894	12.0835059586476	12.1898905193262	12.8681012887172	12.037243118407
ARF4	11.9111229957931	11.7167003472851	12.2196259795067	12.4405385819328	12.75897015154	14.0116583978661	12.7642561667017	12.7905824481115	13.5858671048134	13.4577293565688	13.1182061277132	13.9220363428255
ARF5	10.2961814693013	11.4614120209823	10.7836569025267	10.9697401947503	11.2732230003554	10.239431367266	10.401458473258	10.56015014269	10.5332427106633	10.0918621062542	11.0498499319391	10.1200343797163
