id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
ABCD4	4.68514206631569	4.28303488392834	4.18769473593512	5.38859831502751	4.83302843303537	4.89480031288475	4.80481258283636	4.6336632671249
ABCE1	6.84959513508979	6.25002240771717	5.92598366797554	6.70202761524864	6.45157772127692	6.59775803792163	6.65442862524321	6.96370326338663
ABCF1	7.11871121838258	6.10569780255088	6.88896861475805	7.22974978686227	7.29904658320916	6.84631774925199	7.36463249819946	7.22522535867953
ABCF2	4.93548140914738	4.94754099556736	4.55526447876167	5.24967160239844	5.47810668451477	5.37889508584024	5.73248620967149	5.2654707833494
ABCF3	6.37208862298367	5.9871652150298	6.37208862298367	6.26130976930641	6.44045595360539	5.80786307907018	5.99770166362916	6.12545227060922
ABCG1	5.68328883975516	5.84245585093611	5.35467727832337	5.55063974334339	5.54961123335332	6.24337752774601	5.18082365566992	5.21614501393484
ABCG2	6.71388444771032	6.73506501495256	6.88629568757068	6.3784597284789	6.77093190771739	6.82422655799883	7.88414042798465	7.0052006910445
ABCG4	5.73658735362586	5.8016913182431	5.94364001009381	5.86788941222503	4.89723275186305	5.06884992834666	5.89272534460663	5.60444278302758
ABCG5	1.80827705175688	1.11644204505048	1.21435516571613	1.90624311092178	1.63587738767877	1.04768101540959	1.0671965971865	1.13978286149907
ABHD10	7.40663073866464	7.53891432846544	7.49742904187038	7.8089216942919	7.41718898585384	7.20774682666789	7.16476942769977	7.00887678973024
ABHD11	6.09470884163095	6.45676912917209	6.16803827100094	6.05039751605096	6.65372191494803	6.45722396813697	6.14836233861529	6.35984396436266
ABHD17A	8.93609807390684	8.61045913430051	8.58395702898119	7.78379249662427	7.64417124203086	8.29750042679103	7.91417853920126	7.69031122384147
ABHD17B	6.33279795155252	5.80068485700258	6.08263859266501	4.87281903088686	4.45773843303816	4.89847474726314	4.95371517498727	3.21187433793579
ABHD2	5.68696464125781	6.06132133600291	5.63056145882788	5.33070725987016	6.38056303990389	5.62357999567501	6.57002230428353	6.97898665443955
ABHD3	5.47769568662437	5.64799862788878	5.22178602856762	7.0852162432	6.64026911698734	6.18359612259832	5.52886670506021	5.47849474984347
ABHD4	6.91537938450867	6.73357845978394	7.22974978686227	7.6514537285756	7.0921263434647	7.35251981767101	6.91169210132798	7.33309280239928
