id	GSM758396_Control	GSM758397_Control	GSM758398_Control	GSM758399_Treat
ACTN4	10.5033092233195	9.74331959259131	10.6875017953921	10.7528903933007
ACTR10	12.7934581806727	13.0248964204556	12.3144967055545	12.7243223613423
ACTR1A	10.6731740226605	10.5688540815593	10.530427003568	10.8855621018118
ACTR1B	10.8135749227752	10.5511591436504	11.1080467286277	9.26866027205121
ACTR2	10.6305276557092	10.8617794739338	10.8024277761769	10.9459195511281
ACTR3	11.4964255186466	11.5950832924552	11.5085367373285	12.2876252191247
ACTR3B	10.016924723177	9.62776090823153	9.16741203319704	8.84031442573468
ACTR3BP2	8.51379347369556	5.89286433310948	3.86646912499036	7.82883897929308
ACTR3C	7.83676924786658	7.39024712231953	5.9991015316597	3.2404752774552
ACTR5	7.92096506267396	8.2592674596286	8.51775173468637	8.44494653876965
ACTR6	9.33779578565362	10.2809889949311	9.19414247217202	9.60556223786525
ACTR8	9.09721636540202	8.88309555409459	8.64382248563949	9.13345198977325
ACTRT2	3.97301920965642	4.08145460522928	4.90713721898521	3.90805607392299
ACTRT3	3.98374348132776	6.27724038552265	5.37761453573931	3.44637221866169
ACVR1	10.6462571178182	10.3186539189422	9.7151656796432	11.1926222850311
ACVR1B	9.68869056431389	9.08300090486486	8.86046946639481	8.64173012848132
ACVR1C	10.1706834616632	8.65815560132595	8.6593908335994	8.43391755016166
ACVR2A	9.47489045612688	9.93624657392042	10.0094077887185	9.7846873160006
ACVR2B	7.83781859702857	8.69346025693076	8.78596210334694	8.45223141299696
ACVR2B-AS1	7.48921776526452	7.79705201850719	7.33601372571317	8.59759861690723
ACVRL1	7.00944207325785	7.62203901207687	6.89672537914345	6.8406118232017
ACY1	5.13244107419071	4.75785062598147	4.36505294223401	4.68555501436684
ACY3	4.78301224965904	6.3616294857172	6.44433631224872	6.81559234721021
ACYP1	9.30161609271606	9.37378383552832	8.44775161586481	8.88309555409459
ADA	6.74543452182659	6.08687661692375	5.42607479041463	8.32079453733853
ADAD1	6.56300836426317	6.9313864410068	7.48056645151923	7.44266386096401
ADAD2	5.95760361183067	4.84779903235939	4.86830333638985	4.97123825138917
ADAL	7.342671005	7.97479981533446	7.49832807381571	7.76298202475704
ADAM10	10.2662299453964	10.7944405483454	10.8716972460783	10.913424829196
ADAM11	7.2165017222507	9.13448938977245	9.22936539405902	3.47945420849774
ADAM12	6.33608302575515	6.4956324283631	5.90161466034295	7.40124451945336
ADAM15	8.04855299214343	7.25625035686851	8.39908715167747	8.2796814917276
ADAM17	8.87409669947663	8.94327324375077	8.93687550914558	10.2478214089551
ADAM18	6.15418560079032	5.55117261964749	6.07210249696056	4.66045900146348
ADAM19	7.56002164716847	7.89989070997862	8.34776007217206	7.39465494265252
ADAM2	4.18904336002976	5.93470235326862	2.78839815940819	5.52118114714525
ADAM20	5.18756059349473	6.20865411491247	7.22825701710085	6.87671240538528
ADAM21	6.4981262647376	6.44742152835338	6.98050663083957	6.85856935628629
ADAM22	8.94239366086509	10.110084450489	10.0880755208276	8.55982299328538
ADAM23	9.14849019339738	8.80847236495532	8.62625049675087	8.75376230745034
ADAM28	6.57134362428972	5.99340317322822	7.26233209639482	7.64937165787289
ADAM30	6.04352048577357	4.84602860635328	6.92446761816935	5.62430005928827
ADAM32	3.28735698103361	3.57287280230977	5.28855131430361	7.66766995490731
ADAM33	7.13164786931681	8.47762776670822	9.22483306016323	7.45970319206758
ADAM3A	2.62800667202335	2.84159020445588	5.74381015595249	4.65696199733442
ADAM5	6.74675652777448	5.4777032038693	6.73076038517121	5.99661252981398
ADAM6	7.45146760710792	7.14483159605497	5.35662803015703	7.20972503338242
ADAM7	6.17684443962776	4.8322650893306	5.16822145235403	5.73108555568056
ADAM8	5.81823888923662	4.15639655274232	7.05196819894513	7.48091315608115
ADAM9	9.32321812236507	9.47383512594895	10.1693333191116	11.336906194598
ADAMDEC1	6.89801075062527	6.05687754737791	5.60851450354844	8.5251105733761
ADAMTS1	3.67058750547801	7.45390568660263	8.12180807292734	9.60176626571226
ADAMTS10	8.22631957989065	8.36154234927263	7.90228688950011	8.25815727073901
ADAMTS12	6.40916943361238	5.92793499627618	5.37520437044116	7.59380815012203
ADAMTS13	6.57689100665941	6.61640327232858	8.1409758030899	7.54017615693341
ADAMTS14	7.51268943961789	6.71528498652619	3.89631841924031	6.30702638230478
ADAMTS15	6.64625145374771	5.36932842966452	5.71507158355224	7.6267689386906
ADAMTS16	5.24183317997105	7.30411573637305	4.47660897989052	4.80332953203394
ADAMTS17	5.9251226404124	6.36873878620551	6.30414944672955	6.39413937510977
